Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Salary,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Years_At_Company,YearsInCurrentRole,Years_Since_Promotion,YearsWithCurrManager,Attrition_Flag
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,No,3,4,7,3,3,1,1,0,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,Yes,3,4,9,5,4,4,2,1,3,0
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,No,3,1,10,5,3,10,0,1,8,0
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,No,3,3,19,6,4,1,0,0,0,1
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,Yes,3,1,6,2,2,2,0,2,0,1
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,No,3,4,6,3,2,5,3,1,4,0
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,Yes,3,3,3,2,3,3,2,0,2,1
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,No,3,1,2,3,3,2,2,2,2,0
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,Yes,3,4,6,3,4,1,1,0,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,No,3,1,10,3,3,5,3,1,3,0
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,No,3,3,1,3,3,1,0,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,No,3,4,1,6,3,1,0,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,No,3,3,1,2,2,1,0,0,1,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,No,3,4,9,0,3,9,8,1,7,0
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,No,4,4,12,2,3,12,8,3,7,0
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,No,3,4,23,0,3,22,15,15,8,1
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,No,4,3,10,2,3,9,5,8,7,0
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,No,4,1,8,1,3,1,0,0,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,Yes,4,3,14,4,3,9,6,0,8,0
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,No,3,4,1,2,3,1,0,0,1,0
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,Yes,3,4,23,2,3,1,0,0,0,1
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,Yes,3,3,2,3,2,2,2,2,2,1
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,Yes,4,3,9,2,2,4,3,1,3,0
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,Yes,3,3,10,3,3,4,0,2,3,0
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,Yes,3,3,5,2,2,2,2,0,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,Yes,3,3,15,1,3,15,14,8,12,0
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,No,4,4,9,3,2,9,8,1,8,0
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,Yes,3,3,4,3,3,2,2,2,2,0
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,No,4,4,10,3,2,7,7,1,7,0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,No,3,3,7,2,4,7,5,0,7,0
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,Yes,4,2,9,3,3,9,8,7,8,0
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,No,3,4,10,2,3,10,3,9,9,0
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,Yes,3,4,29,2,2,27,3,13,8,0
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,No,3,4,28,3,2,21,16,7,9,0
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,No,3,2,17,2,3,17,14,12,8,0
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,Yes,3,3,21,2,3,5,0,0,2,0
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,No,3,3,6,3,3,6,5,0,3,0
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,No,3,3,25,2,3,1,0,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,No,3,4,5,2,2,3,2,1,2,0
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,Yes,3,1,2,0,2,1,0,0,0,1
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,No,3,4,20,2,2,4,3,1,3,0
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,No,4,4,6,3,3,5,4,0,4,0
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,No,3,2,1,4,3,1,1,1,0,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,No,3,2,10,3,3,10,4,0,9,0
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,No,3,2,5,3,3,1,0,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,No,4,4,11,2,3,11,7,1,8,0
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,No,3,2,16,2,3,15,13,2,8,0
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,Yes,3,2,17,3,4,0,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,No,3,1,16,3,4,5,2,0,2,0
46,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,Yes,4,4,16,2,3,4,2,0,2,0
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,Yes,3,3,10,1,2,10,8,3,0,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,No,3,1,6,3,3,6,4,0,4,0
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,No,3,4,24,4,3,1,0,1,0,0
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,Yes,3,4,17,3,3,13,11,1,9,0
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,No,3,3,5,2,3,5,2,1,3,0
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,No,3,1,37,3,2,6,4,0,2,0
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,No,3,3,3,3,3,0,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,No,4,2,10,4,3,4,2,0,3,0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,No,3,1,11,3,3,11,10,10,8,0
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,No,3,4,9,3,3,9,8,4,7,1
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,No,4,4,22,3,2,22,3,11,11,0
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,Yes,4,4,11,2,1,10,7,1,0,0
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,Yes,3,2,11,4,2,11,8,2,7,0
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,Yes,3,3,21,5,2,10,9,9,5,0
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,No,3,1,12,0,3,11,8,5,7,0
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,No,3,1,16,5,1,4,3,0,3,0
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,No,4,1,4,2,2,3,2,0,2,0
28,No,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,No,3,2,5,3,4,5,4,0,4,0
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,No,3,3,38,1,2,37,10,1,8,0
44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,No,3,3,17,3,4,3,2,1,2,0
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,Yes,4,4,7,3,3,3,2,0,2,1
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,No,3,4,1,2,3,1,0,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,Yes,3,2,1,5,3,1,0,1,0,1
34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,No,3,3,16,3,3,16,13,2,10,0
37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,No,3,4,17,2,4,1,0,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,No,4,4,30,3,3,3,2,2,2,0
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,Yes,3,1,28,1,2,8,3,0,7,0
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,Yes,3,4,6,1,3,6,4,0,3,1
25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,No,3,3,2,2,3,2,2,2,1,0
22,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,No,3,3,1,5,3,0,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,No,4,3,23,1,2,13,12,12,8,0
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,Yes,4,4,9,3,3,9,7,0,6,1
54,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,Yes,3,3,23,3,3,5,3,4,4,0
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,No,3,3,6,2,3,5,3,1,2,0
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,No,3,3,12,3,3,1,0,0,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,No,3,1,12,3,3,5,3,1,3,0
34,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,3,Manager,1,Single,11631,No,3,4,14,6,3,11,10,5,8,0
36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,No,3,3,10,6,3,9,7,2,8,0
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,No,4,1,7,2,3,1,0,0,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,Yes,3,4,25,3,4,25,12,4,12,0
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,No,4,3,10,2,2,10,7,0,9,0
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,No,3,1,8,2,4,7,7,0,7,0
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,Yes,3,1,7,2,3,5,4,4,3,1
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,No,3,3,23,5,3,20,18,15,15,0
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,Yes,3,2,12,3,2,7,7,7,7,1
26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,No,3,3,5,3,2,5,4,4,3,0
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,No,3,4,40,3,2,40,10,15,6,1
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,Yes,3,4,0,2,2,0,0,0,0,1
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,No,3,3,3,2,3,2,1,2,1,0
49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,No,3,3,16,2,2,15,11,5,11,0
43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,No,3,4,18,2,3,3,2,1,2,0
50,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,No,3,4,16,3,3,2,2,2,1,0
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,Yes,3,3,4,2,3,2,2,2,2,1
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,Yes,3,3,12,2,3,9,7,0,7,0
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,No,4,4,8,3,3,8,7,5,7,0
36,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,No,4,4,7,0,3,3,2,0,1,0
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,No,3,4,18,2,3,4,2,0,3,1
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,No,3,3,17,1,4,15,11,5,9,0
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,No,3,4,6,3,3,2,2,2,2,0
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,Yes,3,4,12,2,1,11,9,4,7,0
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,No,4,1,10,2,4,5,4,0,4,1
45,No,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,No,3,2,9,2,2,6,5,0,3,0
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,Yes,4,2,19,2,3,3,2,2,2,0
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,No,3,3,5,4,2,5,4,0,4,0
32,No,Travel_Frequently,Sales,9,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,No,3,4,9,2,4,8,7,0,7,0
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,No,3,4,8,3,3,3,2,2,2,0
30,No,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,No,3,4,6,3,3,5,3,1,2,0
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,No,3,2,21,2,2,7,6,7,7,0
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,No,4,4,7,2,3,5,0,1,4,0
19,No,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,No,3,4,1,3,3,1,0,0,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,No,3,1,20,2,3,20,7,2,13,0
35,No,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,No,3,1,10,3,3,10,8,0,6,0
53,No,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,Yes,4,4,13,3,1,7,7,4,5,0
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,No,3,3,20,2,1,17,9,0,15,0
32,No,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,No,3,4,9,2,3,9,8,3,7,0
29,No,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,No,3,1,10,1,3,10,7,0,9,0
51,No,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,6132,No,3,3,10,2,3,1,0,0,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,1,Research Scientist,2,Married,3346,Yes,4,2,9,3,2,1,0,0,0,0
40,No,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,3,Sales Executive,4,Married,10855,No,3,1,15,2,2,12,11,2,11,0
34,No,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,No,3,4,6,3,3,4,3,1,2,0
22,No,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,1,Research Scientist,4,Married,2323,No,4,1,2,6,3,2,2,2,2,0
27,No,Non-Travel,Research & Development,9,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,2024,No,3,4,6,1,1,2,2,2,2,0
28,No,Travel_Rarely,Research & Development,21,3,Medical,3,Male,3,1,Research Scientist,4,Married,2713,No,3,3,5,2,1,5,2,0,2,0
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,9439,Yes,3,2,12,2,1,5,3,1,4,0
27,No,Non-Travel,Research & Development,3,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,2566,Yes,3,4,1,2,2,1,1,0,1,0
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,3,5,Manager,2,Single,19926,No,3,2,21,5,3,5,4,4,4,0
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2451,No,3,1,13,2,3,9,8,1,8,0
30,No,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,3,Sales Executive,4,Married,9419,No,3,3,12,2,3,10,9,7,4,0
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,2,Sales Executive,4,Single,8686,No,4,3,12,2,4,8,3,0,7,0
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,3,1,Research Scientist,3,Single,3038,No,4,1,8,2,3,5,4,1,4,0
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3058,Yes,3,4,6,3,2,5,2,1,1,0
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,No,4,1,1,5,4,0,0,0,0,1
36,No,Travel_Frequently,Research & Development,3,2,Medical,4,Male,3,1,Laboratory Technician,2,Single,2088,No,3,3,13,3,2,8,7,7,2,0
30,No,Non-Travel,Research & Development,9,3,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,3072,No,3,3,12,4,3,12,9,6,10,0
45,No,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,2,Sales Executive,1,Divorced,5006,Yes,3,1,9,3,4,5,4,0,3,0
56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,3,1,Research Scientist,1,Divorced,4257,Yes,3,3,19,3,3,2,2,2,2,0
33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2500,No,3,1,4,2,4,3,1,0,2,0
19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,1102,No,4,3,1,3,2,1,0,1,0,1
46,No,Travel_Rarely,Sales,1,2,Marketing,2,Female,3,3,Sales Executive,1,Divorced,10453,No,4,3,24,2,3,24,13,15,7,0
